"protein_id","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3","Axillary_Buds_2h_R1","Axillary_Buds_2h_R2","Axillary_Buds_2h_R3"
"A0A0E3VN01;A0A9D4XLN7",10.4138948294378,9.690571368842,11.9578222618797,11.0218041489233,11.595554586803,20.4830280162196,19.6533477587489,19.5907720999476,9.43986566953227,9.43986566953227,9.62996646688773
"A0A0F6NFZ7;A0A2S1CEA2;A0A385JEW4;A0A6M4EEN3;A0A8A4JEY4;A0A8A4JFD3;A0A8A4JHD0;A0A8A4JJB3;D5MAK6",10.1752732048866,9.74313103262265,11.3245667876674,10.4865380948419,10.820159829344,19.0682128123563,18.4167484862846,19.0320295791972,9.19967234483636,9.19967234483636,NA
"A0A0F6NG56;A0A385JEL8",11.1717976805006,9.82482632260369,12.0303572824767,11.4201129325394,11.7090915349552,22.3145352436448,22.2071511755457,22.3287154342881,9.22158712126481,9.22158712126481,10.1085244567782
"A0A0F6NG74;A0A2S1CE51;A0A385JDK5;A0A385JEG3;A0A9D4YK07",12.1237296775136,10.7873099285105,13.5539068695813,13.9317532224719,12.4102076981778,21.9776265115329,22.008062676729,22.2179736674695,9.94982671075911,9.94982671075911,10.311748315005
"A0A0F6NG81;A0A2S1CE64;A0A2S1CE67;A0A2S1CEC9;A0A345X0V9;A0A385JDU2;A0A385JED6;A0A385JEX7;A0A8A4HQB8;A0A8A4JGH5;A0A8A4JIH4;D5MAI4",10.2826264584286,9.90234651924709,11.6382346544052,10.5963143723249,11.0505234076725,19.3515808274504,18.9412811065488,18.8477384412483,9.481294157894,9.481294157894,9.60129234459131
"A0A0F6NG84;A0A2S1CE35;A0A385JEF0;A0A8A4JDE8;A0A8A4JDV0;D5MAM7",11.6412623339793,10.3579626409574,12.6913328592426,12.102454705746,12.2766276639213,19.7590982131268,19.9458381550996,20.2252921792291,9.20318970899099,9.20318970899099,9.97128075362478
"A0A0F6NGE9;A0A2S1CE53;A0A2S1CE54;A0A2S1CEB8;A0A345X0U9;A0A385JDL1;A0A385JDP9;A0A385JE97;A0A385JEW6;A0A6M4EF67;A0A8A4HMF0;A0A8A4HP05;A0A8A4JAD2;A0A8A4JD56;A0A8A4JG92;A0A8A4JGC7;A0A8A4JKM9;D5MAH4",9.84514680638255,9.34468987639709,11.0168311655319,10.2213660099442,10.64413123097,18.9414504729508,19.2556646941738,19.9296825482151,9.02241979015274,9.02241979015274,8.44294349584873
"A0A0F6NGI2;A0A2S1CE65;A0A385JET5",15.2186182502336,14.2504434127776,16.5339053039838,15.399101401249,15.9659960233222,20.6665100858328,21.0486983903259,NA,12.0182616373926,12.0182616373926,12.7994096140255
"A0A0F6NGK1;A0A2S1CE14;A0A2S1CEH7;A0A385JDZ7;A0A385JFY0;D5MAL0",12.5342858886787,11.7833496195824,14.1050565691158,13.3002932589035,13.7732142619002,23.2126584598454,23.3373023095402,23.5786642976722,9.85452686063438,9.85452686063438,9.99718135864304
"A0A0H3WA21;A0A0H3WB91;A0A0H3WD05;A0A9D4W0I2;A0A9D4WJ86;A0A9D4WJ87;A0A9D4WKA6;A0A9D4WLA7",9.48016644823541,8.84549005094438,10.4302525284039,10.3453170226957,10.0566854122416,18.9280643388026,18.9670601672963,19.0528147830276,9.36194377373524,9.36194377373524,9.16741814583174
