"protein_id","Apical_Buds_0h","Apical_Buds_2h","Axillary_Buds_0h","Axillary_Buds_2h"
"A0A0F6NGI2;A0A2S1CE65;A0A385JET5",14.7345308315056,15.9663342428517,20.8576042380794,12.2786442962702
"A0A218KIQ3",11.5038523575273,12.6695905520185,18.5411338319871,10.2726032454005
"A0A2U3TA33;A0A9D5AH20",13.9487782796629,14.7224033248732,20.3885174557423,11.6075380500348
"A0A9D4VHL1",11.1853955758064,11.9858803501313,18.850987387076,9.98614952363135
"A0A9D4VMZ0;A0A9D5H085",12.5451692156796,13.7335581443518,24.8954910861506,13.0533965259911
"A0A9D4VS53",9.89921481378031,11.0079338193746,20.144834901001,10.7872515477075
"A0A9D4W021;A0A9D4W0F9",10.6651982573076,11.1305263269824,19.4966531840319,9.55762161948544
"A0A9D4W580",11.3344119380264,11.8976916217265,18.929240656818,10.1226279695808
"A0A9D4W5X4",11.2944699914903,12.722966672836,20.0203703103941,11.0880002953013
"A0A9D4W9B3",10.2229061570452,11.1850139346212,18.355964809008,9.05884594710155
"A0A9D4W9P4;A0A9D5A3T8;Q9SC34",9.55906799093488,11.8438981223542,24.2392007702689,10.8256125138958
"A0A9D4WD15",13.1407402475543,12.8343628821091,20.3039318117096,10.7681273303455
"A0A9D4WQN5",10.4337034756569,11.7797862822053,18.1038522828858,11.6164632381747
"A0A9D4WX03;A0A9D4WY35",10.5010981691933,11.9010441727915,18.2863148345558,9.47010381024093
"A0A9D4WYF2",13.1382203556911,14.6826604622189,22.6662231225772,11.8955653715312
"A0A9D4X6H8;A0A9D5BG10",14.4209281263511,15.9082913801529,22.9211143966187,14.6217584726089
"A0A9D4XHW4",11.4828961287942,12.6961062627088,20.9946996260177,13.1360451911675
"A0A9D4XNS3;A0A9D4XT18",12.5911821560765,13.5300042358263,20.725339832724,10.4852351892432
"A0A9D4XNZ2",12.2609864307055,13.5511313250925,19.5250329235579,11.5533616031141
"A0A9D4XXL8",11.8526572577728,13.3946190350278,21.4467151451549,9.67803643730688
"A0A9D4Y682",10.0386494722018,12.1141086506084,19.1844563342851,10.9443407226142
"A0A9D4Y8P1",10.2959495330464,11.5709739998472,20.2177630282549,10.6082861673149
"A0A9D4ZZN2",11.6191468375907,12.7409191691772,20.2799830276052,11.472781528046
"A0A9D5A1R3",10.131836881784,11.5538186001318,18.3210048540051,10.2704223966385
"A0A9D5A419",9.99526858804031,11.8518185132307,16.5136968219323,9.3670791425216
"A0A9D5AHS7",10.479393673453,11.529534432906,17.1803343239891,NA
"A0A9D5AIF5",13.6450746256869,14.9769543019335,21.1549675408133,11.6287682385495
"A0A9D5AJT3",11.0180004188474,12.151510580543,18.1062642136133,9.75950587088918
"A0A9D5AS49",10.6989243483971,12.5783069376047,21.6709068594906,12.3296334979877
"A0A9D5AY70",10.222140732609,11.0906426952877,19.1531220399182,10.3530211246363
"A0A9D5B215",11.7561621706172,13.7168822675714,26.6500400544848,12.2279025378652
"A0A9D5B342",10.6614911614595,12.4987539604731,17.1307861132681,11.9730372089451
"A0A9D5BB42",9.73393570766909,10.830827142315,22.542871724803,10.9326585228369
"A0A9D5BGR9",15.1978800240198,15.3195467636094,25.486950831905,14.6967496571297
"A0A9D5GWX9",11.0130193896642,12.1463211332117,19.3860348908649,10.5471942992419
"A0A9D5H100;A0A9D5H161;A0A9D5H164",10.3879044987371,11.4638236614869,17.9171897673651,10.4631051428176
"P00155",12.8924798358583,14.0011740180913,20.3446524660619,10.6674420358316
"P00869",13.7934581679477,13.9873378248539,22.7996288722849,14.3125808067481
"P04717",14.7031650609659,15.3827865184545,23.5318263243932,12.9910868235947
"P05310",14.7037142807694,15.7046569086233,22.1933755685905,11.8215560885198
"P17067",13.4692840681604,14.3366578703406,19.0690051759626,10.7246548389678
"P23408",10.8376193847331,11.724663095248,20.3601947933693,10.4288435087096
"P25470",13.516397634665,15.948413316382,23.5847684251743,14.5334574480197
"P26291",11.5596136608113,12.3674173761722,19.5185830629316,11.2575207879628
"P31162",13.066355582042,14.3330515812955,19.1751064420703,10.3628212589803
"P46275",11.8590809883454,12.9366099474389,19.4376286649627,10.1928517265758
"Q01289",12.5458425942704,13.9424986662074,20.5069067125484,10.8527539660201
"Q7Y1T5",13.0746835520537,14.4186534907797,20.0764329254914,10.9197206606097
"Q8SKU2",9.81565434237739,11.1138225814442,17.35172299277,9.07612539469741
"Q9XQR2",13.4617708620729,14.65522292798,21.173401857457,11.4976300265702
